course_id,lecture_id,course_title,lecture_title
course_1005,lecture_7744,Master Data Engineering using GCP Data Analytics,Integration of GCP Cloud SQL Postgres with Python
course_934,lecture_3930,Digital Marketing: 16 Strategic and Tactical Courses in 1,Cross-selling and up-selling
course_976,lecture_3782,AWS Certified SysOps Administrator Associate 2023 [SOA-C02],"Amazon S3 - Durability, Availability, and Lifecycle"
course_573,lecture_6086,The Complete Data Structures and Algorithms Course in Python,Types of Graph
course_770,lecture_6110,Passing Certification Exams with Strategic Test Taking!,ITIL 4 Foundation (Practice Questions)
course_2333,lecture_325,SAP : Supply Chain Logistics & Transportation in S/4 HANA,Using MRP & ATP : SAP Demo Part 1
course_1368,lecture_7817,SAP S/4HANA Sourcing & Procurement (MM-Materials Management),Serial Numbers in Purchasing Documents - Overview and Configuration
course_519,lecture_6449,ANGULAR and ASP.NET Core REST API - Real World Application,API - Get All Images
course_2102,lecture_4938,The Comprehensive Android App Development Masterclass,Java Hashmap
course_2031,lecture_8638,Android App Development Masterclass using Kotlin,Add Neg Button to Layout
course_1044,lecture_7458,Be a Great Mentor: A Practical Guide to Mentorship,Mentoring in the age of #MeToo
course_1815,lecture_9525,Certified ISTQB® Test Analyst Advanced Level (CTAL-TA) 2022,Test Execution
course_368,lecture_4959,Total Python: You Can Master Python Programming in 16 Days,Transform Voice into Text
course_1271,lecture_8875,Career Hacking: The Ultimate Job Search Course (Now w/ AI!),Crafting Your Cover Letter Strategy [Barriers Checklist in Resources]
course_1794,lecture_927,"Data Engineering Essentials using SQL, Python, and PySpark",Usage of RDBMS and Data Warehouse technologies
course_1022,lecture_5062,Linear Algebra and Geometry 1,Orthogonal projections and decompositions
course_2137,lecture_4800,English Pronunciation Masterclass,425_PART FIVE_UNSURE INTONATION
course_861,lecture_8375,Apache Kafka Series - Kafka Connect Hands-on Learning,Kafka Connect Architecture Design
course_2187,lecture_4670,Fraud Risk Analytics (Excel & AI based tools) and Prevention,Anomaly Detection
course_1172,lecture_9398,SAP ERP Fundamentals,SAP ERP modules
course_154,lecture_3715,Python for Machine Learning & Data Science Masterclass,Pandas Pivot Tables
course_906,lecture_2491,SQL For Data Science With Google Big Query,Intro to Big Query Standard SQL Functions
course_1186,lecture_5831,Electrical Control & Protection Systems part 2,Circuit Breaker Protection
course_1361,lecture_4154,How to Dropship Print on Demand Mugs and T Shirts on Etsy,10 Best Niches for Etsy Dropshipping
course_1815,lecture_578,Certified ISTQB® Test Analyst Advanced Level (CTAL-TA) 2022,Sample exam from ISTQB® 2021
course_296,lecture_3018,SC-300 : Microsoft Identity and Access Administrator,Configure Azure AD MFA registration Policy
course_2270,lecture_2595,SAP BTP For Beginners,Walkthru of SAP BTP: Application Development and Automation
course_1722,lecture_5362,Azure Kubernetes Service AGIC Ingress: 30 Real-World Demos,Step-03: Install Nginx Ingress Controller using Helm
course_1996,lecture_1967,DP-203 - Data Engineering on Microsoft Azure 2023,Revisiting Azure Data Factory - Mapping Data Flow
course_734,lecture_4133,AZ-305 Designing Microsoft Azure Infrastructure with SIMS!,Adding a subscription to your Azure account
course_741,lecture_594,Web Development w/ Google’s Go (golang) Programming Language,Cookies - overview
course_2314,lecture_5638,AZ-204 Developing Solutions for Microsoft Azure - OCT 2023,Configuring Customer-Managed Key (CMK) with Azure Key Vault
course_1683,lecture_7294,Certified in Information System Audit (CISA),5.1 Information Security Management Framework
course_2208,lecture_3189,Oracle SQL Performance Tuning Masterclass (2024),Query Analysis Strategy
course_2251,lecture_8769,Certified Fraud Examiner (CFE) Essential Training (2023),Internal Auditing for Fraud Prevention
course_635,lecture_8349,PMP Certification Exam (PMI) Prep: A Complete Guide- 35 PDUs,Most common dilemmas for PMP Mocks
course_340,lecture_2104,Building Real-Time REST APIs with Spring Boot - Blog App,Spring Boot REST API Global Exception Handling
course_95,lecture_8094,Salesforce Admin certification course,Data Import
course_991,lecture_3363,IT for recruiters and talent management professionals,Frontend vs backend
course_2061,lecture_7934,Google Cloud Platform (GCP) Fundamentals for Beginners,Google Cloud AI Building Blocks
course_375,lecture_966,AZ-104 Microsoft Azure Administrator Certification 2023,Introduction to Role Based Access Control
course_750,lecture_9147,Python for Data Science and Machine Learning Bootcamp,Python Crash Course Exercises - Overview
